[ 2024-12-07 07:11:41,911 ] 19 root - INFO - Initiate the data ingestion
[ 2024-12-07 07:11:44,816 ] 62 root - INFO - Performed train test split on dataframe
[ 2024-12-07 07:11:44,816 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-07 07:11:44,817 ] 72 root - INFO - Exporting train and test file path.
[ 2024-12-07 07:11:44,861 ] 81 root - INFO - Exported train and test file path.
[ 2024-12-07 07:11:44,862 ] 21 root - INFO - Data Initiation Completed
[ 2024-12-07 07:11:44,866 ] 27 root - INFO - Initiate the data validation
[ 2024-12-07 07:11:44,878 ] 31 root - INFO - Required number of columns: 2
[ 2024-12-07 07:11:44,878 ] 32 root - INFO - Data frame has columns: 31
[ 2024-12-07 07:11:44,878 ] 31 root - INFO - Required number of columns: 2
[ 2024-12-07 07:11:44,878 ] 32 root - INFO - Data frame has columns: 31
[ 2024-12-07 07:11:44,979 ] 29 root - INFO - Data Validation Completed
[ 2024-12-07 07:11:44,979 ] 34 root - INFO - Data transformation started
[ 2024-12-07 07:11:44,979 ] 51 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2024-12-07 07:11:44,979 ] 53 root - INFO - Starting data transformation
[ 2024-12-07 07:11:44,991 ] 40 root - INFO - Entered the get_data_transformer_object method of DataTransformation class
[ 2024-12-07 07:11:44,991 ] 43 root - INFO - Initalise imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-07 07:11:44,995 ] 48 root - INFO - Entered the save_object method of utils
[ 2024-12-07 07:11:44,998 ] 52 root - INFO - Exited the save_object method of utils
[ 2024-12-07 07:11:44,998 ] 38 root - INFO - Data transformation completed
[ 2024-12-07 07:11:44,998 ] 41 root - INFO - Model trainer started
[ 2024-12-07 07:13:43,322 ] 48 root - INFO - Entered the save_object method of utils
[ 2024-12-07 07:13:43,323 ] 52 root - INFO - Exited the save_object method of utils
[ 2024-12-07 07:13:43,323 ] 121 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/12_07_2024_07_11_38/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9913958902722948), precision_score=np.float64(0.9902932254802831), recall_score=np.float64(0.9925010133765707)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9752535496957404), precision_score=np.float64(0.9677938808373591), recall_score=np.float64(0.9828291087489779)))
[ 2024-12-07 07:13:43,325 ] 45 root - INFO - Model trainer completed
